In:room_width,In:room_depth,In:transmittance,In:louver_depth,Out:AVG_DF,Out:MIN_DF,Out:MAX_DF,Out:UNIFORMITY_RATIO,Img:Perspective
3,3,0.35,0.2,1.589018,0.44515,3.96824,0.280142,room_width_3_room_depth_3_transmittance_0.35_louver_depth_0.2.png
4,3,0.35,0.2,1.65024,0.335407,3.890882,0.203247,room_width_4_room_depth_3_transmittance_0.35_louver_depth_0.2.png
5,3,0.35,0.2,1.72376,0.305723,3.927579,0.177358,room_width_5_room_depth_3_transmittance_0.35_louver_depth_0.2.png
6,3,0.35,0.2,1.748479,0.289901,3.9364,0.165802,room_width_6_room_depth_3_transmittance_0.35_louver_depth_0.2.png
7,3,0.35,0.2,1.788849,0.276391,4.027283,0.154508,room_width_7_room_depth_3_transmittance_0.35_louver_depth_0.2.png
3,4,0.35,0.2,1.244736,0.40239,3.936745,0.323274,room_width_3_room_depth_4_transmittance_0.35_louver_depth_0.2.png
4,4,0.35,0.2,1.33075,0.295818,3.886421,0.222294,room_width_4_room_depth_4_transmittance_0.35_louver_depth_0.2.png
5,4,0.35,0.2,1.393487,0.257953,3.889853,0.185114,room_width_5_room_depth_4_transmittance_0.35_louver_depth_0.2.png
6,4,0.35,0.2,1.421191,0.244389,3.892513,0.17196,room_width_6_room_depth_4_transmittance_0.35_louver_depth_0.2.png
7,4,0.35,0.2,1.457528,0.229789,3.931937,0.157657,room_width_7_room_depth_4_transmittance_0.35_louver_depth_0.2.png
3,5,0.35,0.2,1.048533,0.302106,3.909484,0.288123,room_width_3_room_depth_5_transmittance_0.35_louver_depth_0.2.png
4,5,0.35,0.2,1.115518,0.283322,3.89062,0.253983,room_width_4_room_depth_5_transmittance_0.35_louver_depth_0.2.png
5,5,0.35,0.2,1.167019,0.236503,3.873136,0.202655,room_width_5_room_depth_5_transmittance_0.35_louver_depth_0.2.png
6,5,0.35,0.2,1.193624,0.217577,3.893903,0.182283,room_width_6_room_depth_5_transmittance_0.35_louver_depth_0.2.png
7,5,0.35,0.2,1.225786,0.204565,3.915831,0.166885,room_width_7_room_depth_5_transmittance_0.35_louver_depth_0.2.png
3,6,0.35,0.2,0.893061,0.204291,3.91245,0.228753,room_width_3_room_depth_6_transmittance_0.35_louver_depth_0.2.png
4,6,0.35,0.2,0.95057,0.253683,3.854389,0.266874,room_width_4_room_depth_6_transmittance_0.35_louver_depth_0.2.png
5,6,0.35,0.2,0.999351,0.230903,3.882105,0.231053,room_width_5_room_depth_6_transmittance_0.35_louver_depth_0.2.png
6,6,0.35,0.2,1.025253,0.205268,3.843656,0.200212,room_width_6_room_depth_6_transmittance_0.35_louver_depth_0.2.png
7,6,0.35,0.2,1.054055,0.188484,3.894541,0.178818,room_width_7_room_depth_6_transmittance_0.35_louver_depth_0.2.png
3,7,0.35,0.2,0.773748,0.140044,3.93657,0.180994,room_width_3_room_depth_7_transmittance_0.35_louver_depth_0.2.png
4,7,0.35,0.2,0.823773,0.179323,3.825649,0.217685,room_width_4_room_depth_7_transmittance_0.35_louver_depth_0.2.png
5,7,0.35,0.2,0.871194,0.19558,3.862424,0.224496,room_width_5_room_depth_7_transmittance_0.35_louver_depth_0.2.png
6,7,0.35,0.2,0.894995,0.198135,3.856312,0.221381,room_width_6_room_depth_7_transmittance_0.35_louver_depth_0.2.png
7,7,0.35,0.2,0.917919,0.181181,3.885505,0.197382,room_width_7_room_depth_7_transmittance_0.35_louver_depth_0.2.png
3,3,0.45,0.2,2.081691,0.588995,5.365711,0.282941,room_width_3_room_depth_3_transmittance_0.45_louver_depth_0.2.png
4,3,0.45,0.2,2.204984,0.455055,5.20512,0.206375,room_width_4_room_depth_3_transmittance_0.45_louver_depth_0.2.png
5,3,0.45,0.2,2.294222,0.422694,5.259045,0.184243,room_width_5_room_depth_3_transmittance_0.45_louver_depth_0.2.png
6,3,0.45,0.2,2.321893,0.39503,5.249782,0.170133,room_width_6_room_depth_3_transmittance_0.45_louver_depth_0.2.png
7,3,0.45,0.2,2.371655,0.375124,5.349739,0.15817,room_width_7_room_depth_3_transmittance_0.45_louver_depth_0.2.png
3,4,0.45,0.2,1.659378,0.563389,5.255186,0.339518,room_width_3_room_depth_4_transmittance_0.45_louver_depth_0.2.png
4,4,0.45,0.2,1.771409,0.405025,5.182263,0.228646,room_width_4_room_depth_4_transmittance_0.45_louver_depth_0.2.png
5,4,0.45,0.2,1.850144,0.360254,5.200374,0.194716,room_width_5_room_depth_4_transmittance_0.45_louver_depth_0.2.png
6,4,0.45,0.2,1.890808,0.332426,5.184495,0.175812,room_width_6_room_depth_4_transmittance_0.45_louver_depth_0.2.png
7,4,0.45,0.2,1.934852,0.312217,5.296068,0.161365,room_width_7_room_depth_4_transmittance_0.45_louver_depth_0.2.png
3,5,0.45,0.2,1.386316,0.395515,5.266696,0.285299,room_width_3_room_depth_5_transmittance_0.45_louver_depth_0.2.png
4,5,0.45,0.2,1.486088,0.399814,5.176959,0.269038,room_width_4_room_depth_5_transmittance_0.45_louver_depth_0.2.png
5,5,0.45,0.2,1.54853,0.330366,5.131826,0.213342,room_width_5_room_depth_5_transmittance_0.45_louver_depth_0.2.png
6,5,0.45,0.2,1.589161,0.302137,5.192316,0.190123,room_width_6_room_depth_5_transmittance_0.45_louver_depth_0.2.png
7,5,0.45,0.2,1.62834,0.282194,5.185958,0.173302,room_width_7_room_depth_5_transmittance_0.45_louver_depth_0.2.png
3,6,0.45,0.2,1.183141,0.265004,5.233851,0.223984,room_width_3_room_depth_6_transmittance_0.45_louver_depth_0.2.png
4,6,0.45,0.2,1.261935,0.331713,5.15234,0.26286,room_width_4_room_depth_6_transmittance_0.45_louver_depth_0.2.png
5,6,0.45,0.2,1.327167,0.317674,5.195926,0.239363,room_width_5_room_depth_6_transmittance_0.45_louver_depth_0.2.png
6,6,0.45,0.2,1.357131,0.281895,5.165349,0.207714,room_width_6_room_depth_6_transmittance_0.45_louver_depth_0.2.png
7,6,0.45,0.2,1.393273,0.260949,5.154849,0.187292,room_width_7_room_depth_6_transmittance_0.45_louver_depth_0.2.png
3,7,0.45,0.2,1.014925,0.173113,5.277863,0.170567,room_width_3_room_depth_7_transmittance_0.45_louver_depth_0.2.png
4,7,0.45,0.2,1.094358,0.235628,5.124485,0.215311,room_width_4_room_depth_7_transmittance_0.45_louver_depth_0.2.png
5,7,0.45,0.2,1.154196,0.270602,5.142362,0.234451,room_width_5_room_depth_7_transmittance_0.45_louver_depth_0.2.png
6,7,0.45,0.2,1.183028,0.269902,5.109188,0.228145,room_width_6_room_depth_7_transmittance_0.45_louver_depth_0.2.png
7,7,0.45,0.2,1.219575,0.247453,5.142371,0.202901,room_width_7_room_depth_7_transmittance_0.45_louver_depth_0.2.png
3,3,0.55,0.2,2.633128,0.790765,6.641988,0.300314,room_width_3_room_depth_3_transmittance_0.55_louver_depth_0.2.png
4,3,0.55,0.2,2.769284,0.594753,6.567651,0.214768,room_width_4_room_depth_3_transmittance_0.55_louver_depth_0.2.png
5,3,0.55,0.2,2.875427,0.535797,6.656956,0.186337,room_width_5_room_depth_3_transmittance_0.55_louver_depth_0.2.png
6,3,0.55,0.2,2.920384,0.505578,6.65887,0.17312,room_width_6_room_depth_3_transmittance_0.55_louver_depth_0.2.png
7,3,0.55,0.2,2.995287,0.484886,6.759865,0.161883,room_width_7_room_depth_3_transmittance_0.55_louver_depth_0.2.png
3,4,0.55,0.2,2.109908,0.737117,6.653777,0.34936,room_width_3_room_depth_4_transmittance_0.55_louver_depth_0.2.png
